,Dummy_Regressor,Ridge,Random_Forest
fit_time,0.0,5.452,11.754
score_time,0.0,0.327,0.097
test_r2,-0.001,0.375,0.41
train_r2,0.0,0.606,0.777
test_MAPE,-0.102,-0.078,-0.076
train_MAPE,-0.102,-0.062,-0.044
test_neg_rmse,-0.826,-0.653,-0.633
train_neg_rmse,-0.827,-0.519,-0.39
test_neg_mse,-0.683,-0.426,-0.401
train_neg_mse,-0.683,-0.269,-0.152
